"Android phones database.

",,,,,,,,,,,,,
Tablet database: ,,https://docs.google.com/spreadsheet/ccc?key=0Argh_eVbu2eZdDBXdmpld1dvckl6RUlHamJjMzVaQXc#gid=2,,,,,,,,,,,
Fork on GitHub: ,,https://github.com/mataanin/android-devices,,,,,,,,,,,
"Author:
",,https://twitter.com/MaksimGolivkin,,,,,,,,,,,
,,,,,,,,,,,,,
Manufacturer,Model,Diagonal,Generalized size,Density bucket,Width (px),Height (px),Density,Bucket dpi,Width (dp),Height (db),Released,Original version,Latest version
HTC,Tattoo,2.8,small,ldpi,240,320,142.86,120,320,427,,,
,Touch 2,2.8,small,ldpi,240,320,142.86,120,320,427,,,
HTC,Wildfire,3.2,small,ldpi,240,320,125.00,120,320,427,December 2010,2.3,4.0.3
Samsung,Galaxy Mini,3.14,small,ldpi,240,320,127.39,120,320,427,,,
Samsung,Galaxy Y,3,small,ldpi,240,320,133.33,120,320,427,,,
Sony,X10 mini,2.55,small,ldpi,240,320,156.86,120,320,427,,,
HTC,ChaCha,2.6,small,mdpi,320,480,221.88,160,320,480,,,
HTC,Salsa,3.2,small,mdpi,320,480,180.28,160,320,480,,,
HTC,Aria,3.2,small,mdpi,320,480,180.28,160,320,480,June 2010,2.1,
HTC,Aria,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Dream,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Gratia,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Hero,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Legend,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Magic,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
HTC,Wildfire,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.1,
Huawei,Blaze,3.4,normal,mdpi,320,480,169.67,160,320,480,,,
LG,Optimus One,3.2,small,mdpi,320,480,180.28,160,320,480,October 2010,2.2,2.3
Motorola,i1,3.1,small,mdpi,320,480,186.00,160,320,480,,2.1,2.3.6
Motorola,Defy Mini,3.2,small,mdpi,320,480,180.28,160,320,480,,,
Samsung,Galaxy Ace,3.5,normal,mdpi,320,480,164.83,160,320,480,,,
Samsung,Galaxy Gio,3.2,small,mdpi,320,480,180.28,160,320,480,,,
Sony,Xperia X8,3,small,mdpi,320,480,192.30,160,320,480,April 2011,2.2,2.3
HTC,Evo,4.3,normal,hdpi,480,800,216.97,240,320,533,October 2010,2.1,2.2
HTC,HD2,4.3,normal,hdpi,480,800,216.97,240,320,533,October 2010,2.1,2.2
HTC,Thunderbolt,4.3,normal,hdpi,480,800,216.97,240,320,533,October 2010,2.1,2.2
HTC,Desire HD,4.3,normal,hdpi,480,800,216.97,240,320,533,February 2012,2.3.6,4
HTC,Touch HD,3.8,normal,hdpi,480,800,245.51,240,320,533,May 2012,2.3.6,4
HTC,Desire ,3.7,normal,hdpi,480,800,252.15,240,320,533,March 2010,1.6,2.3
HTC,Desire Z,3.7,normal,hdpi,480,800,252.15,240,320,533,March 2010,1.6,2.3
HTC,Desire S,3.7,normal,hdpi,480,800,252.15,240,320,533,March 2010,1.6,2.3
HTC,Nexus One,3.7,normal,hdpi,480,800,252.15,240,320,533,September 2011,2.3.4,
HTC,One S,4.3,normal,hdpi,540,960,256.15,240,360,640,April 2012,4,4.1.1
Samsung,Epic,4,normal,hdpi,480,800,233.24,240,320,533,November 2010,2.1,2.2
Samsung,Nexus S,4,normal,hdpi,480,800,233.24,240,320,533,September 2010,2.3,4
Samsung,Nexus S 4g,4,normal,hdpi,480,800,233.24,240,320,533,March 2011,2.3,
Samsung,Galaxy W,3.7,normal,hdpi,480,800,252.15,240,320,533,,,
Samsung,Galaxy S,4,normal,hdpi,480,800,233.24,240,320,533,,,
Samsung,Galaxy S Plus,4,normal,hdpi,480,800,233.24,240,320,533,,,
Samsung,Galaxy SII,4.27,normal,hdpi,480,800,218.49,240,320,533,June 2010,2.1,
Samsung,Galaxy S Blaze,3.97,normal,hdpi,480,800,235.00,240,320,533,March 2012,2.3.6,
ZTE,Blade,3.5,normal,hdpi,480,800,266.56,240,320,533,May 2012,1.6,2.1/2.2
